Adversary_Stake,Test_Run,Result,Certificates_Formed
10,1,SUCCESS,
10,2,SUCCESS,
10,3,SUCCESS,
10,4,SUCCESS,
10,5,SUCCESS,
10,6,SUCCESS,
10,7,SUCCESS,
10,8,SUCCESS,
10,9,SUCCESS,
10,10,SUCCESS,
10,11,SUCCESS,
10,12,SUCCESS,
10,13,SUCCESS,
10,14,SUCCESS,
10,15,SUCCESS,
10,16,SUCCESS,
10,17,SUCCESS,
10,18,SUCCESS,
10,19,SUCCESS,
10,20,SUCCESS,
10,21,SUCCESS,
10,22,SUCCESS,
10,23,SUCCESS,
10,24,SUCCESS,
10,25,SUCCESS,
10,26,SUCCESS,
10,27,SUCCESS,
10,28,SUCCESS,
10,29,SUCCESS,
10,30,SUCCESS,
10,31,SUCCESS,
10,32,SUCCESS,
10,33,SUCCESS,
10,34,SUCCESS,
10,35,SUCCESS,
10,36,SUCCESS,
10,37,SUCCESS,
10,38,SUCCESS,
10,39,SUCCESS,
10,40,SUCCESS,
10,41,SUCCESS,
10,42,SUCCESS,
10,43,SUCCESS,
10,44,SUCCESS,
10,45,SUCCESS,
10,46,SUCCESS,
10,47,SUCCESS,
10,48,SUCCESS,
10,49,SUCCESS,
10,50,SUCCESS,
10,51,SUCCESS,
10,52,SUCCESS,
10,53,SUCCESS,
10,54,SUCCESS,
10,55,SUCCESS,
10,56,SUCCESS,
10,57,SUCCESS,
10,58,SUCCESS,
10,59,SUCCESS,
10,60,SUCCESS,
10,61,SUCCESS,
10,62,SUCCESS,
10,63,SUCCESS,
10,64,SUCCESS,
10,65,SUCCESS,
10,66,SUCCESS,
10,67,SUCCESS,
10,68,SUCCESS,
10,69,SUCCESS,
10,70,SUCCESS,
10,71,SUCCESS,
10,72,SUCCESS,
10,73,SUCCESS,
10,74,SUCCESS,
10,75,SUCCESS,
10,76,SUCCESS,
10,77,SUCCESS,
10,78,SUCCESS,
10,79,SUCCESS,
10,80,SUCCESS,
10,81,SUCCESS,
10,82,SUCCESS,
10,83,SUCCESS,
10,84,SUCCESS,
10,85,SUCCESS,
10,86,SUCCESS,
10,87,SUCCESS,
10,88,SUCCESS,
10,89,SUCCESS,
10,90,SUCCESS,
10,91,SUCCESS,
10,92,SUCCESS,
10,93,SUCCESS,
10,94,SUCCESS,
10,95,SUCCESS,
10,96,SUCCESS,
10,97,SUCCESS,
10,98,SUCCESS,
10,99,SUCCESS,
10,100,SUCCESS,
15,1,SUCCESS,
15,2,SUCCESS,
15,3,SUCCESS,
15,4,SUCCESS,
15,5,SUCCESS,
15,6,SUCCESS,
15,7,SUCCESS,
15,8,SUCCESS,
15,9,SUCCESS,
15,10,SUCCESS,
15,11,SUCCESS,
15,12,SUCCESS,
15,13,SUCCESS,
15,14,SUCCESS,
15,15,SUCCESS,
15,16,SUCCESS,
15,17,SUCCESS,
15,18,SUCCESS,
15,19,SUCCESS,
15,20,SUCCESS,
15,21,SUCCESS,
15,22,SUCCESS,
15,23,SUCCESS,
15,24,SUCCESS,
15,25,SUCCESS,
15,26,SUCCESS,
15,27,SUCCESS,
15,28,SUCCESS,
15,29,SUCCESS,
15,30,SUCCESS,
15,31,SUCCESS,
15,32,SUCCESS,
15,33,SUCCESS,
15,34,SUCCESS,
15,35,SUCCESS,
15,36,SUCCESS,
15,37,SUCCESS,
15,38,SUCCESS,
15,39,SUCCESS,
15,40,SUCCESS,
15,41,SUCCESS,
15,42,SUCCESS,
15,43,SUCCESS,
15,44,SUCCESS,
15,45,SUCCESS,
15,46,SUCCESS,
15,47,SUCCESS,
15,48,SUCCESS,
15,49,SUCCESS,
15,50,SUCCESS,
15,51,SUCCESS,
15,52,SUCCESS,
15,53,SUCCESS,
15,54,SUCCESS,
15,55,SUCCESS,
15,56,SUCCESS,
15,57,SUCCESS,
15,58,SUCCESS,
15,59,SUCCESS,
15,60,SUCCESS,
15,61,SUCCESS,
15,62,SUCCESS,
15,63,SUCCESS,
15,64,SUCCESS,
15,65,SUCCESS,
15,66,SUCCESS,
15,67,SUCCESS,
15,68,SUCCESS,
15,69,SUCCESS,
15,70,SUCCESS,
15,71,SUCCESS,
15,72,SUCCESS,
15,73,SUCCESS,
15,74,SUCCESS,
15,75,SUCCESS,
15,76,SUCCESS,
15,77,SUCCESS,
15,78,SUCCESS,
15,79,SUCCESS,
15,80,SUCCESS,
15,81,SUCCESS,
15,82,SUCCESS,
15,83,SUCCESS,
15,84,SUCCESS,
15,85,SUCCESS,
15,86,SUCCESS,
15,87,SUCCESS,
15,88,SUCCESS,
15,89,SUCCESS,
15,90,SUCCESS,
15,91,SUCCESS,
15,92,SUCCESS,
15,93,SUCCESS,
15,94,SUCCESS,
15,95,SUCCESS,
15,96,SUCCESS,
15,97,SUCCESS,
15,98,SUCCESS,
15,99,SUCCESS,
15,100,SUCCESS,
20,1,SUCCESS,
20,2,SUCCESS,
20,3,SUCCESS,
20,4,SUCCESS,
20,5,SUCCESS,
20,6,SUCCESS,
20,7,SUCCESS,
20,8,SUCCESS,
20,9,SUCCESS,
20,10,SUCCESS,
20,11,SUCCESS,
20,12,SUCCESS,
20,13,SUCCESS,
20,14,SUCCESS,
20,15,SUCCESS,
20,16,SUCCESS,
20,17,SUCCESS,
20,18,SUCCESS,
20,19,SUCCESS,
20,20,SUCCESS,
20,21,SUCCESS,
20,22,SUCCESS,
20,23,SUCCESS,
20,24,SUCCESS,
20,25,SUCCESS,
20,26,SUCCESS,
20,27,SUCCESS,
20,28,SUCCESS,
20,29,SUCCESS,
20,30,SUCCESS,
