Test_Type,Window_Size,Test_Run,Result,Details
rotation,10,1,SUCCESS,Valid rotation
rotation,10,2,SUCCESS,Valid rotation
rotation,10,3,SUCCESS,Valid rotation
rotation,10,4,SUCCESS,Valid rotation
rotation,10,5,SUCCESS,Valid rotation
rotation,10,6,SUCCESS,Valid rotation
rotation,10,7,SUCCESS,Valid rotation
rotation,10,8,SUCCESS,Valid rotation
rotation,10,9,SUCCESS,Valid rotation
rotation,10,10,SUCCESS,Valid rotation
rotation,10,11,SUCCESS,Valid rotation
rotation,10,12,SUCCESS,Valid rotation
rotation,10,13,SUCCESS,Valid rotation
rotation,10,14,SUCCESS,Valid rotation
rotation,10,15,SUCCESS,Valid rotation
rotation,10,16,SUCCESS,Valid rotation
rotation,10,17,SUCCESS,Valid rotation
rotation,10,18,SUCCESS,Valid rotation
rotation,10,19,SUCCESS,Valid rotation
rotation,10,20,SUCCESS,Valid rotation
rotation,10,21,SUCCESS,Valid rotation
rotation,10,22,SUCCESS,Valid rotation
rotation,10,23,SUCCESS,Valid rotation
rotation,10,24,SUCCESS,Valid rotation
rotation,10,25,SUCCESS,Valid rotation
rotation,10,26,SUCCESS,Valid rotation
rotation,10,27,SUCCESS,Valid rotation
rotation,10,28,SUCCESS,Valid rotation
rotation,10,29,SUCCESS,Valid rotation
rotation,10,30,SUCCESS,Valid rotation
rotation,10,31,SUCCESS,Valid rotation
rotation,10,32,SUCCESS,Valid rotation
rotation,10,33,SUCCESS,Valid rotation
rotation,10,34,SUCCESS,Valid rotation
rotation,10,35,SUCCESS,Valid rotation
rotation,10,36,SUCCESS,Valid rotation
rotation,10,37,SUCCESS,Valid rotation
rotation,10,38,SUCCESS,Valid rotation
rotation,10,39,SUCCESS,Valid rotation
rotation,10,40,SUCCESS,Valid rotation
rotation,10,41,SUCCESS,Valid rotation
rotation,10,42,SUCCESS,Valid rotation
rotation,10,43,SUCCESS,Valid rotation
rotation,10,44,SUCCESS,Valid rotation
rotation,10,45,SUCCESS,Valid rotation
rotation,10,46,SUCCESS,Valid rotation
rotation,10,47,SUCCESS,Valid rotation
rotation,10,48,SUCCESS,Valid rotation
rotation,10,49,SUCCESS,Valid rotation
rotation,10,50,SUCCESS,Valid rotation
window,5,1,SUCCESS,Valid window management
window,5,2,SUCCESS,Valid window management
window,5,3,SUCCESS,Valid window management
window,5,4,SUCCESS,Valid window management
window,5,5,SUCCESS,Valid window management
window,5,6,SUCCESS,Valid window management
window,5,7,SUCCESS,Valid window management
window,5,8,SUCCESS,Valid window management
window,5,9,SUCCESS,Valid window management
window,5,10,SUCCESS,Valid window management
window,5,11,SUCCESS,Valid window management
window,5,12,SUCCESS,Valid window management
window,5,13,SUCCESS,Valid window management
window,5,14,SUCCESS,Valid window management
window,5,15,SUCCESS,Valid window management
window,5,16,SUCCESS,Valid window management
window,5,17,SUCCESS,Valid window management
window,5,18,SUCCESS,Valid window management
window,5,19,SUCCESS,Valid window management
window,5,20,SUCCESS,Valid window management
window,5,21,SUCCESS,Valid window management
window,5,22,SUCCESS,Valid window management
window,5,23,SUCCESS,Valid window management
window,5,24,SUCCESS,Valid window management
window,5,25,SUCCESS,Valid window management
window,5,26,SUCCESS,Valid window management
window,5,27,SUCCESS,Valid window management
window,5,28,SUCCESS,Valid window management
window,5,29,SUCCESS,Valid window management
window,5,30,SUCCESS,Valid window management
window,10,1,SUCCESS,Valid window management
window,10,2,SUCCESS,Valid window management
window,10,3,SUCCESS,Valid window management
window,10,4,SUCCESS,Valid window management
window,10,5,SUCCESS,Valid window management
window,10,6,SUCCESS,Valid window management
window,10,7,SUCCESS,Valid window management
window,10,8,SUCCESS,Valid window management
window,10,9,SUCCESS,Valid window management
window,10,10,SUCCESS,Valid window management
window,10,11,SUCCESS,Valid window management
window,10,12,SUCCESS,Valid window management
window,10,13,SUCCESS,Valid window management
window,10,14,SUCCESS,Valid window management
window,10,15,SUCCESS,Valid window management
window,10,16,SUCCESS,Valid window management
window,10,17,SUCCESS,Valid window management
window,10,18,SUCCESS,Valid window management
window,10,19,SUCCESS,Valid window management
window,10,20,SUCCESS,Valid window management
window,10,21,SUCCESS,Valid window management
window,10,22,SUCCESS,Valid window management
window,10,23,SUCCESS,Valid window management
window,10,24,SUCCESS,Valid window management
window,10,25,SUCCESS,Valid window management
window,10,26,SUCCESS,Valid window management
window,10,27,SUCCESS,Valid window management
window,10,28,SUCCESS,Valid window management
window,10,29,SUCCESS,Valid window management
window,10,30,SUCCESS,Valid window management
window,15,1,SUCCESS,Valid window management
