Test_Type,Node_Count,Fanout,Test_Run,Result,Details
basic,10,3,1,SUCCESS,Valid rotor sampling
basic,10,3,2,SUCCESS,Valid rotor sampling
basic,10,3,3,SUCCESS,Valid rotor sampling
basic,10,3,4,SUCCESS,Valid rotor sampling
basic,10,3,5,SUCCESS,Valid rotor sampling
basic,10,3,6,SUCCESS,Valid rotor sampling
basic,10,3,7,SUCCESS,Valid rotor sampling
basic,10,3,8,SUCCESS,Valid rotor sampling
basic,10,3,9,SUCCESS,Valid rotor sampling
basic,10,3,10,SUCCESS,Valid rotor sampling
basic,10,3,11,SUCCESS,Valid rotor sampling
basic,10,3,12,SUCCESS,Valid rotor sampling
basic,10,3,13,SUCCESS,Valid rotor sampling
basic,10,3,14,SUCCESS,Valid rotor sampling
basic,10,3,15,SUCCESS,Valid rotor sampling
basic,10,3,16,SUCCESS,Valid rotor sampling
basic,10,3,17,SUCCESS,Valid rotor sampling
basic,10,3,18,SUCCESS,Valid rotor sampling
basic,10,3,19,SUCCESS,Valid rotor sampling
basic,10,3,20,SUCCESS,Valid rotor sampling
basic,10,3,21,SUCCESS,Valid rotor sampling
basic,10,3,22,SUCCESS,Valid rotor sampling
basic,10,3,23,SUCCESS,Valid rotor sampling
basic,10,3,24,SUCCESS,Valid rotor sampling
basic,10,3,25,SUCCESS,Valid rotor sampling
basic,10,3,26,SUCCESS,Valid rotor sampling
basic,10,3,27,SUCCESS,Valid rotor sampling
basic,10,3,28,SUCCESS,Valid rotor sampling
basic,10,3,29,SUCCESS,Valid rotor sampling
basic,10,3,30,SUCCESS,Valid rotor sampling
basic,20,3,1,SUCCESS,Valid rotor sampling
basic,20,3,2,SUCCESS,Valid rotor sampling
basic,20,3,3,SUCCESS,Valid rotor sampling
basic,20,3,4,SUCCESS,Valid rotor sampling
basic,20,3,5,SUCCESS,Valid rotor sampling
basic,20,3,6,SUCCESS,Valid rotor sampling
basic,20,3,7,SUCCESS,Valid rotor sampling
basic,20,3,8,SUCCESS,Valid rotor sampling
basic,20,3,9,SUCCESS,Valid rotor sampling
basic,20,3,10,SUCCESS,Valid rotor sampling
basic,20,3,11,SUCCESS,Valid rotor sampling
basic,20,3,12,SUCCESS,Valid rotor sampling
basic,20,3,13,SUCCESS,Valid rotor sampling
basic,20,3,14,SUCCESS,Valid rotor sampling
basic,20,3,15,SUCCESS,Valid rotor sampling
basic,20,3,16,SUCCESS,Valid rotor sampling
basic,20,3,17,SUCCESS,Valid rotor sampling
basic,20,3,18,SUCCESS,Valid rotor sampling
basic,20,3,19,SUCCESS,Valid rotor sampling
basic,20,3,20,SUCCESS,Valid rotor sampling
basic,20,3,21,SUCCESS,Valid rotor sampling
basic,20,3,22,SUCCESS,Valid rotor sampling
basic,20,3,23,SUCCESS,Valid rotor sampling
basic,20,3,24,SUCCESS,Valid rotor sampling
basic,20,3,25,SUCCESS,Valid rotor sampling
basic,20,3,26,SUCCESS,Valid rotor sampling
basic,20,3,27,SUCCESS,Valid rotor sampling
basic,20,3,28,SUCCESS,Valid rotor sampling
basic,20,3,29,SUCCESS,Valid rotor sampling
basic,20,3,30,SUCCESS,Valid rotor sampling
basic,50,3,1,SUCCESS,Valid rotor sampling
basic,50,3,2,SUCCESS,Valid rotor sampling
basic,50,3,3,SUCCESS,Valid rotor sampling
basic,50,3,4,SUCCESS,Valid rotor sampling
basic,50,3,5,SUCCESS,Valid rotor sampling
basic,50,3,6,SUCCESS,Valid rotor sampling
basic,50,3,7,SUCCESS,Valid rotor sampling
basic,50,3,8,SUCCESS,Valid rotor sampling
basic,50,3,9,SUCCESS,Valid rotor sampling
basic,50,3,10,SUCCESS,Valid rotor sampling
basic,50,3,11,SUCCESS,Valid rotor sampling
basic,50,3,12,SUCCESS,Valid rotor sampling
basic,50,3,13,SUCCESS,Valid rotor sampling
basic,50,3,14,SUCCESS,Valid rotor sampling
basic,50,3,15,SUCCESS,Valid rotor sampling
basic,50,3,16,SUCCESS,Valid rotor sampling
basic,50,3,17,SUCCESS,Valid rotor sampling
basic,50,3,18,SUCCESS,Valid rotor sampling
basic,50,3,19,SUCCESS,Valid rotor sampling
basic,50,3,20,SUCCESS,Valid rotor sampling
basic,50,3,21,SUCCESS,Valid rotor sampling
basic,50,3,22,SUCCESS,Valid rotor sampling
basic,50,3,23,SUCCESS,Valid rotor sampling
basic,50,3,24,SUCCESS,Valid rotor sampling
basic,50,3,25,SUCCESS,Valid rotor sampling
basic,50,3,26,SUCCESS,Valid rotor sampling
basic,50,3,27,SUCCESS,Valid rotor sampling
basic,50,3,28,SUCCESS,Valid rotor sampling
basic,50,3,29,SUCCESS,Valid rotor sampling
basic,50,3,30,SUCCESS,Valid rotor sampling
basic,100,3,1,SUCCESS,Valid rotor sampling
basic,100,3,2,SUCCESS,Valid rotor sampling
basic,100,3,3,SUCCESS,Valid rotor sampling
basic,100,3,4,SUCCESS,Valid rotor sampling
